stop_id,stop_name,route_count,connected_routes
20337,Haydar Aliyev Parkı,15,"229, 322, 327, 423, 428, 429, 442, 443, 445, 446, 447, 547, 595, 820, 827"
20338,Mavişehir,15,"229, 322, 327, 423, 428, 429, 442, 443, 445, 446, 447, 547, 595, 820, 827"
22364,Menemen Toplum Sağlığı Merkezi,15,"602, 648, 657, 658, 747, 748, 749, 753, 754, 755, 756, 758, 759, 800, 868"
22365,Menemen Toplum Sağlığı Merkezi,15,"602, 648, 657, 658, 747, 748, 749, 753, 754, 755, 756, 758, 759, 800, 868"
22370,Menemen Garaj Karşısı,15,"602, 648, 657, 658, 747, 748, 749, 753, 754, 755, 756, 758, 759, 800, 868"
22371,Menemen Garaj Karşısı,15,"602, 648, 657, 658, 747, 748, 749, 753, 754, 755, 756, 758, 759, 800, 868"
22390,Menemen Şehir Parkı,15,"602, 648, 657, 658, 747, 748, 749, 753, 754, 755, 756, 758, 759, 800, 868"
22391,Menemen Şehir Parkı,15,"602, 648, 657, 658, 747, 748, 749, 753, 754, 755, 756, 758, 759, 800, 868"
31289,Ata,15,"214, 314, 328, 330, 365, 515, 559, 565, 566, 568, 570, 584, 585, 930, 963"
32243,Ağır Bakım,15,"117, 153, 154, 214, 249, 302, 367, 54, 57, 58, 59, 60, 64, 662, 699"
32244,Ağır Bakım,15,"117, 153, 154, 214, 249, 302, 367, 54, 57, 58, 59, 60, 64, 662, 699"
40739,Buca Üçkuyular Meydan,15,"104, 304, 465, 470, 471, 472, 476, 490, 515, 536, 676, 805, 866, 878, 940"
50605,Urla,15,"684, 732, 733, 734, 737, 738, 760, 761, 762, 882, 906, 961, 962, 978, 984"
10102,İskele,14,"121, 202, 253, 302, 35, 36, 466, 838, 910, 920, 930, 940, 950, 951"
10178,Adnan Saygun Sanat Merkezi,14,"10, 202, 24, 25, 480, 486, 5, 510, 6, 650, 7, 945, 946, 977"
10246,Bayramyeri,14,"15, 152, 18, 19, 20, 21, 508, 550, 587, 588, 681, 887, 910, 950"
10248,Altıntaş,14,"15, 152, 18, 19, 20, 21, 508, 550, 587, 588, 681, 887, 910, 950"
10611,Osman Öksüz Parkı,14,"108, 124, 156, 157, 27, 522, 550, 556, 587, 588, 823, 84, 89, 92"
10653,Gaziemir Semt Garajı,14,"152, 200, 508, 516, 539, 610, 691, 823, 828, 877, 879, 887, 891, 910"
10655,Emrez,14,"152, 200, 508, 516, 539, 610, 691, 823, 828, 877, 879, 887, 891, 910"
10656,Aktepe,14,"152, 200, 508, 516, 539, 610, 691, 823, 828, 877, 879, 887, 891, 910"
10657,Aktepe,14,"152, 200, 508, 516, 539, 610, 691, 823, 828, 877, 879, 887, 891, 910"
11616,Çaybaşı Son Durak,14,"701, 712, 713, 719, 721, 722, 724, 763, 782, 783, 784, 785, 786, 795"
12057,Eşrefpaşa,14,"104, 105, 171, 233, 234, 285, 374, 465, 470, 471, 484, 485, 72, 940"
12065,Yağhaneler 2,14,"104, 105, 171, 233, 234, 285, 374, 465, 470, 471, 484, 485, 72, 940"
12069,Konak Anadolu Lisesi,14,"104, 105, 171, 233, 234, 285, 374, 465, 470, 471, 484, 485, 72, 940"
12070,Şelale Parkı,14,"104, 105, 171, 233, 234, 285, 374, 465, 470, 471, 484, 490, 72, 940"
12071,Şelale Parkı,14,"104, 105, 171, 233, 234, 285, 374, 465, 470, 471, 484, 485, 72, 940"
