stop_name,stop_count
Balcı,2
Ballıkuyu Eski Son Durak,2
Ballıkuyu Çeşme,2
Baltaalanı,2
Balıklıova Depo,2
Balıklıova Gökkuşağı,2
Balıklıova Merkez,2
Balıklıova Ortaokulu,2
Balıklıova Yolu,2
Balıklıova İ.Ö.O,2
Balıkçı Barınağı,2
Balıkçı Kahvesi,2
Balıkçı Kulesi,2
Banka,2
Bankalar,2
Baraj,2
Barbaros Cami,2
Barbaros Hayrettin İlkokulu,2
Barbaros Tarla,2
Barbaros Yol ayrımı,2
Bardakçı,2
Bardakçılar,2
Barutçu Yol Ayrımı,2
Barış Manço,2
Barış Merdivenleri,2
Barış Selçuk Parkı,2
Basmane Gar,2
Basın Sitesi,2
Bayatlı,2
Bayatlı Çıkış,2
Baydar,2
Bayraklı Depo,2
Bayraklı Evleri,2
Bayraklı Lisesi,2
Bayraklı Siteler,2
Bayraklı Çamlık,2
Bayraklı Çocuk Parkı,2
Bayraklı Üst Geçit,2
Bayraklı İstasyon,2
Bayraktar,2
Bayraktar Sitesi,2
Bayraktepe,2
Bayram Kahya,2
Bayramyeri,2
Bayındır Anadolu Lisesi,2
Bayındır Fatih İlkokulu,2
Bayındır Giriş,2
Bayındır Gül,2
Bayındır Leylak,2
Bayındır Meslek Yüksek Okulu,2
Bayındır Meşe,2
Bayındır Sadık Susamcıoğlu Anadolu Lisesi,2
Bayındır Sanayi,2
Bayındır Tariş,2
Bayındır Yağcı,2
Bayındır Zeytin,2
Bayındır Çınar,2
Bayındır Çırpı İlkokulu,2
Bazilika,2
Bağ Arası,2
Bağ Bozumu,2
Bağarası Atatürk Parkı,2
Bağarası Atölye,2
Bağarası Buz,2
Bağarası Giriş,2
Bağarası Küçük Sanayi,2
Bağarası Mavi,2
Bağarası Çarşı,2
Bağcılar Köprü,2
Bağcılar Meydan,2
Bağcılar Tepe,2
Bağyurdu Cami,2
Bağyurdu Son Durak,2
Bağyurdu Spor Tesisleri,2
Bağyurdu Üçyol,2
Başakkent Sitesi,2
Başaran,2
Başpınar,2
Begonvil,2
Begos,2
Begovilya,2
Behçet Uz Anadolu Lisesi,2
Belediye Ek Hizmet Binası,2
Belediye Evleri,2
Belen Eski Okul,2
Belen Kümeevler,2
Belen Meydan,2
Belen Yayla,2
Belenbaşı Yol Ayrımı,2
Belevi,2
Belevi Depolar,2
Belevi Karayolları Şantiye,2
Belevi Kavşak,2
Belevi Meydan,2
Belevi Çiftlik,2
Belkahve Çay Bahçesi,2
Benefşe,2
Berber,2
Bergama Begonya,2
Bergama Hastane,2
Bergama Höyük,2
Bergama Kantar,2
Bergama Meslek Yüksek Okulu,2
Bergama Park,2
Bergama Salkım,2
Bergama Sanayi,2
Bergama Sardunya,2
Bergama Tuna,2
Bergama Zeytinlik,2
Besiciler,2
Beta Tarım,2
Beton Santrali,2
Beyaz Durak,2
Beyaz Çeşme,2
Beyazevler,2
Beyazevler Köprü,2
Beyazevler Sağlık Ocağı,2
Beyazıt,2
Beydağ Denizli Yolu,2
Beydağ Değirmen,2
Beydağ Giriş,2
Beydağ Hastane,2
Beydağ Hükümet Konağı,2
Beydağ Köşe,2
Beydağ Yağmur,2
Beydağ Yol Ayrımı,2
Beyköy Küme Evleri,2
Beyler,2
Beyler Köyü Yol Ayrımı,2
Beyler Yol ayrımı,2
Beyler Üç Yol,2
Beyler İlkokulu,2
Beylik Bağı,2
Beytullah Cami,2
Bezirgan,2
Beş Kardeşler,2
Beş Selviler,2
Beşevler Çeşme,2
Beşgöz,2
Beşikçioğlu Cami,2
Beşinci Sanayi,2
Beşinci Sanayi Giriş,2
Beştepeler Lisesi,2
Beşyol Giriş,2
Biberiye,2
Bilge Ağaç,2
Bilimkent,2
Birgi,2
Birgi Bahçe,2
Birgi Cami,2
Birgi Dörtyol,2
Birgi Kocagöl,2
Birgi Yolu,2
Birgi Çiftlik,2
Birinci Trafo,2
Birkent,2
Birkent 2,2
Birlik Sitesi,2
Birlikcan,2
Birsan,2
Bisikletçi,2
Boncuk,2
Borlu,2
Bornova Anadolu Lisesi,2
Bornova Doğanlar Stadyum,2
Bornova Kooperatif,2
Bornova Kültür Merkezi,2
Bornova Stadyum,2
Bornova Stadı,2
Bornova Tenis Kulübü,2
Bornova İzsu,2
Borsa Okulu Eski Sondurak,2
Bostanlı Market,2
Bostanlı Pazaryeri,2
Botanik,2
Boynuyoğun Dörtyol,2
Boynuyoğun Pazaryeri,2
Boynuyoğun Yağ Fabrikası,2
Bozalan Düğün Salonu,2
Bozalan Giriş,2
Bozalan Keçi Çiftliği,2
Bozalan Kümeevler,2
Bozköy Bahçe,2
Bozköy Gelincik,2
Bozköy Köşe,2
Bozköy Nar,2
Bozköy Yukarı Mahalle,2
Bozköy-Ş.Kemal Üstgçt,2
Bozyaka,2
Bozyaka Cami,2
Bozyaka Devlet Hastanesi,2
Bozyer,2
Buca Anadolu Lisesi,2
Buca Belediye Sarayı,2
Buca Belediye Şantiye,2
Buca Doğum Evi,2
Buca Eski Mezarlık,2
Buca Gazi Ortaokulu,2
Buca Hipodrom,2
Buca Kaymakamlık,2
Buca Kooperatif Meydan,2
Buca Köprüsü,2
Buca Menderes Mahallesi Muhtarlığı,2
Buca Moda Konutları,2
Buca Sağlık Ocağı,2
Buca Sebze ve Meyve Hali,2
Buca Sosyal Güvenlik Kurumu,2
Buca Spor Salonu,2
Buca Tenis Kulübü,2
Buca Toki Girişi,2
Buca Tütün İhracatçıları Birliği İlkokulu,2
Buca Vergi Dairesi,2
Buca Yeni Cami,2
Buca spor tesisleri,2
Buca İlçe Halk Kütüphanesi,2
Bucalılar,2
Bulanık Su,2
Bulgurca Yolu,2
Bulut,2
Bulvar,2
Burcu Sitesi,2
Burmalı Çeşme,2
Buruncuk Kirazlar,2
Buruncuk İ.Ö,2
Buğday,2
Bölcek,2
Bölcek Giriş,2
Bölcek Kanarya,2
Bölcek Meydan,2
Bölcek Mezarlığı,2
Bölcek Ortaokulu,2
Bölcek Parkı,2
Bölcek Tarım,2
Bölcek Çıkış,2
Bölge Metro İstasyonu,2
Bölge Müdürlüğü,2
Bölge İdare Mahkemesi,2
Bölge İstasyonu,2
Bülbül,2
Bülbüldere Yol Ayrımı,2
Bülbüldere Çıkış,2
Bülent Ecevit Meydanı,2
Büyük Akkum,2
Büyük Çiğli Anadolu Lisesi,2
Büyük Çiğli Mezarlık,2
Büyükavulcuk,2
Büyükkale Bahçe,2
Büyükkale Cami,2
Büyükkale Giriş,2
Büyükkale Meydan,2
Büyükkale Sağlık Merkezi,2
Büyükkale Villa,2
Büyükkale Zeytinlik,2
Büyükkale Çıkış,2
Büyükşehir Kurs Merkezi,2
Cahit Sıtkı,2
Cam Fabrikası,2
Camel,2
Camikebir Bahçe,2
Camikebir Caddesi,2
Camikebir Sitesi,2
Camikebir Çiftlik,2
Canlı Kahveler,2
Canlı Merkez,2
Canlı Park,2
Canlı Çıkış,2
Canlı Çınar,2
Cansu Sitesi,2
Cem Bakioğlu Lisesi,2
Cemal Parkı,2
Cemal Reşit Rey,2
Cemal Süreya Parkı,2
Cembekler,2
Cemevi,2
