stop_id,stop_name,route_1,route_2
10177,Hava Hastanesi,510,690
10177,Hava Hastanesi,510,7
10177,Hava Hastanesi,510,873
10177,Hava Hastanesi,510,977
10177,Hava Hastanesi,6,650
10177,Hava Hastanesi,6,671
10177,Hava Hastanesi,6,690
10177,Hava Hastanesi,6,7
10177,Hava Hastanesi,6,873
10177,Hava Hastanesi,6,977
10177,Hava Hastanesi,650,671
10177,Hava Hastanesi,650,690
10177,Hava Hastanesi,650,7
10177,Hava Hastanesi,650,873
10177,Hava Hastanesi,650,977
10177,Hava Hastanesi,671,690
10177,Hava Hastanesi,671,7
10177,Hava Hastanesi,671,873
10177,Hava Hastanesi,671,977
10177,Hava Hastanesi,690,7
10177,Hava Hastanesi,690,873
10177,Hava Hastanesi,690,977
10177,Hava Hastanesi,7,873
10177,Hava Hastanesi,7,977
10177,Hava Hastanesi,873,977
10178,Adnan Saygun Sanat Merkezi,10,202
10178,Adnan Saygun Sanat Merkezi,10,24
10178,Adnan Saygun Sanat Merkezi,10,25
10178,Adnan Saygun Sanat Merkezi,10,480
10178,Adnan Saygun Sanat Merkezi,10,486
10178,Adnan Saygun Sanat Merkezi,10,5
10178,Adnan Saygun Sanat Merkezi,10,510
10178,Adnan Saygun Sanat Merkezi,10,6
10178,Adnan Saygun Sanat Merkezi,10,650
10178,Adnan Saygun Sanat Merkezi,10,7
10178,Adnan Saygun Sanat Merkezi,10,945
10178,Adnan Saygun Sanat Merkezi,10,946
10178,Adnan Saygun Sanat Merkezi,10,977
10178,Adnan Saygun Sanat Merkezi,202,24
10178,Adnan Saygun Sanat Merkezi,202,25
10178,Adnan Saygun Sanat Merkezi,202,480
10178,Adnan Saygun Sanat Merkezi,202,486
10178,Adnan Saygun Sanat Merkezi,202,5
10178,Adnan Saygun Sanat Merkezi,202,510
10178,Adnan Saygun Sanat Merkezi,202,6
10178,Adnan Saygun Sanat Merkezi,202,650
10178,Adnan Saygun Sanat Merkezi,202,7
10178,Adnan Saygun Sanat Merkezi,202,945
10178,Adnan Saygun Sanat Merkezi,202,946
10178,Adnan Saygun Sanat Merkezi,202,977
10178,Adnan Saygun Sanat Merkezi,24,25
10178,Adnan Saygun Sanat Merkezi,24,480
10178,Adnan Saygun Sanat Merkezi,24,486
10178,Adnan Saygun Sanat Merkezi,24,5
10178,Adnan Saygun Sanat Merkezi,24,510
10178,Adnan Saygun Sanat Merkezi,24,6
10178,Adnan Saygun Sanat Merkezi,24,650
10178,Adnan Saygun Sanat Merkezi,24,7
10178,Adnan Saygun Sanat Merkezi,24,945
10178,Adnan Saygun Sanat Merkezi,24,946
10178,Adnan Saygun Sanat Merkezi,24,977
10178,Adnan Saygun Sanat Merkezi,25,480
10178,Adnan Saygun Sanat Merkezi,25,486
10178,Adnan Saygun Sanat Merkezi,25,5
10178,Adnan Saygun Sanat Merkezi,25,510
10178,Adnan Saygun Sanat Merkezi,25,6
10178,Adnan Saygun Sanat Merkezi,25,650
10178,Adnan Saygun Sanat Merkezi,25,7
10178,Adnan Saygun Sanat Merkezi,25,945
10178,Adnan Saygun Sanat Merkezi,25,946
10178,Adnan Saygun Sanat Merkezi,25,977
10178,Adnan Saygun Sanat Merkezi,480,486
10178,Adnan Saygun Sanat Merkezi,480,5
10178,Adnan Saygun Sanat Merkezi,480,510
10178,Adnan Saygun Sanat Merkezi,480,6
10178,Adnan Saygun Sanat Merkezi,480,650
10178,Adnan Saygun Sanat Merkezi,480,7
10178,Adnan Saygun Sanat Merkezi,480,945
10178,Adnan Saygun Sanat Merkezi,480,946
10178,Adnan Saygun Sanat Merkezi,480,977
10178,Adnan Saygun Sanat Merkezi,486,5
10178,Adnan Saygun Sanat Merkezi,486,510
10178,Adnan Saygun Sanat Merkezi,486,6
10178,Adnan Saygun Sanat Merkezi,486,650
10178,Adnan Saygun Sanat Merkezi,486,7
10178,Adnan Saygun Sanat Merkezi,486,945
10178,Adnan Saygun Sanat Merkezi,486,946
10178,Adnan Saygun Sanat Merkezi,486,977
10178,Adnan Saygun Sanat Merkezi,5,510
10178,Adnan Saygun Sanat Merkezi,5,6
10178,Adnan Saygun Sanat Merkezi,5,650
10178,Adnan Saygun Sanat Merkezi,5,7
10178,Adnan Saygun Sanat Merkezi,5,945
10178,Adnan Saygun Sanat Merkezi,5,946
10178,Adnan Saygun Sanat Merkezi,5,977
10178,Adnan Saygun Sanat Merkezi,510,6
10178,Adnan Saygun Sanat Merkezi,510,650
10178,Adnan Saygun Sanat Merkezi,510,7
10178,Adnan Saygun Sanat Merkezi,510,945
10178,Adnan Saygun Sanat Merkezi,510,946
10178,Adnan Saygun Sanat Merkezi,510,977
10178,Adnan Saygun Sanat Merkezi,6,650
10178,Adnan Saygun Sanat Merkezi,6,7
10178,Adnan Saygun Sanat Merkezi,6,945
10178,Adnan Saygun Sanat Merkezi,6,946
