route_1,route_2,common_stop_count,common_stop_rank
328,963,23,89
330,930,23,89
335,426,23,89
344,445,23,89
426,477,23,89
434,477,23,89
443,446,23,89
465,470,23,89
470,471,23,89
470,536,23,89
490,536,23,89
501,662,23,89
504,662,23,89
539,691,23,89
539,887,23,89
539,910,23,89
565,585,23,89
602,748,23,89
640,989,23,89
641,986,23,89
642,989,23,89
652,936,23,89
660,746,23,89
675,989,23,89
748,800,23,89
760,981,23,89
770,783,23,89
906,981,23,89
950,969,23,89
985,989,23,89
986,991,23,89
989,990,23,89
102,503,22,90
102,513,22,90
102,599,22,90
104,515,22,90
123,443,22,90
128,602,22,90
128,660,22,90
128,800,22,90
135,258,22,90
135,741,22,90
135,847,22,90
136,258,22,90
136,487,22,90
136,847,22,90
136,920,22,90
137,258,22,90
137,537,22,90
137,741,22,90
137,847,22,90
147,477,22,90
171,465,22,90
18,19,22,90
20,520,22,90
206,304,22,90
214,328,22,90
249,570,22,90
258,532,22,90
258,742,22,90
305,5,22,90
305,6,22,90
305,7,22,90
305,82,22,90
311,945,22,90
328,330,22,90
328,515,22,90
335,78,22,90
358,67,22,90
435,741,22,90
446,595,22,90
471,476,22,90
472,515,22,90
477,78,22,90
